"company_name","company_img"
"Exec","https://s3.amazonaws.com/photos.angel.co/startups/i/76645-b921b47d5be232e71d18b3794707fa1a-medium_jpg.jpg?buster=1331922333"
"Fabricly","https://s3.amazonaws.com/photos.angel.co/startups/i/52787-1e6161583d878daf76da9b4e39c5dd58-medium_jpg.jpg?buster=1372369176"
"FamilyLeaf","https://s3.amazonaws.com/photos.angel.co/startups/i/78224-5f59503bb281638f2da2832b0ddf76d2-medium_jpg.jpg?buster=1332756552"
"FanChatter","https://s3.amazonaws.com/photos.angel.co/startups/i/73437-b42f332832dee6d8cae8e025460db057-medium_jpg.jpg?buster=1330674082"
"FitnessKeeper","https://s3.amazonaws.com/photos.angel.co/startups/i/32744-341155a32aeaa6a35338282e9756af99-medium_jpg.jpg?buster=1375315159"
"Fitocracy","https://s3.amazonaws.com/photos.angel.co/startups/i/18937-25d96605a57406758a0f9cbe39b8ecda-medium_jpg.jpg?buster=1333476070"
"FlightCar","https://s3.amazonaws.com/photos.angel.co/startups/i/117187-475195700088695e72bc3dd6870e95e3-medium_jpg.jpg?buster=1345826229"
"Foodzie","https://s3.amazonaws.com/photos.angel.co/startups/i/27048-308107a8810a423d1987c303d536ca1e-medium_jpg.jpg?buster=1319788007"
"GazeHawk","https://s3.amazonaws.com/photos.angel.co/startups/i/22663-30af57fe0b38a2865edfad38b73669f4-medium_jpg.jpg?buster=1315730836"
"Geckoboard","https://s3.amazonaws.com/photos.angel.co/startups/i/29381-31393c8f0b83a8df0e3f78e680c3e2c0-medium_jpg.jpg?buster=1326898359"
"Genomera","https://s3.amazonaws.com/photos.angel.co/startups/i/797-40e905170a1d4e18bff5593c02bebb66-medium_jpg.jpg?buster=1315770819"
"GinzaMetrics","https://s3.amazonaws.com/photos.angel.co/startups/i/1410-96476610c318aa9c0078456f7df388c7-medium_jpg.jpg?buster=1327613191"
"Glassmap","https://s3.amazonaws.com/photos.angel.co/startups/i/130560-3496c6c0d9952f25053e791a2ee7b3cd-medium_jpg.jpg?buster=1350499124"
"HealthRally","https://s3.amazonaws.com/photos.angel.co/startups/i/1787-a9208029d76e1ac8077ad75d52da13a0-medium_jpg.jpg?buster=1315770378"
"Heyzap","https://s3.amazonaws.com/photos.angel.co/startups/i/17068-ba386cdbccb22f8d949681112d5cd5a5-medium_jpg.jpg?buster=1366686568"
"HighlightCam","https://s3.amazonaws.com/photos.angel.co/startups/i/103843-ba1c1866053693163fc0ad2c2527a600-medium_jpg.jpg?buster=1341971736"
"Homejoy","https://s3.amazonaws.com/photos.angel.co/startups/i/34598-c7c7f738905c910032e53aa6f9ba5813-medium_jpg.jpg?buster=1362891877"
"iCracked","https://s3.amazonaws.com/photos.angel.co/startups/i/79259-04f6ff52ae8799ba2721cf1a6f7df88f-medium_jpg.jpg?buster=1376930863"
"inDinero","https://s3.amazonaws.com/photos.angel.co/startups/i/153921-2a4c75afc6d2ebac33e9acf20bdc4448-medium_jpg.jpg?buster=1357603494"
"Influitive","https://s3.amazonaws.com/photos.angel.co/startups/i/1266-99045f67f6956c90613ef42aff0eddfd-medium_jpg.jpg?buster=1315770630"
"Instacart","https://s3.amazonaws.com/photos.angel.co/startups/i/131716-ec50ba6b52bf0edc889bc3a6dae17493-medium_jpg.jpg?buster=1373474641"
"InVenture","https://s3.amazonaws.com/photos.angel.co/startups/i/24322-99810a874bee29a5f577d9d6ab67a120-medium_jpg.jpg?buster=1316036141"
"Kaleidoscope","https://angel.co/images/shared/nopic_startup.png"
"Kamcord","https://s3.amazonaws.com/photos.angel.co/startups/i/115146-2109c6f07c0d6129664996e911547dd1-medium_jpg.jpg?buster=1371355611"
"Kicksend","https://s3.amazonaws.com/photos.angel.co/startups/i/6028-a0c3f0a97d12c54c8a6fd64f933f759f-medium_jpg.jpg?buster=1354618605"
"Kinsights","https://s3.amazonaws.com/photos.angel.co/startups/i/20834-7fcc3ca8078702177b81009b3d7ff7e4-medium_jpg.jpg?buster=1386186929"
"Kippt","https://s3.amazonaws.com/photos.angel.co/startups/i/58059-a50effb231719ad36b3e237d8b925ff2-medium_jpg.jpg?buster=1345425221"
"Lawdingo","https://s3.amazonaws.com/photos.angel.co/startups/i/99336-b950ce44b19f885e2294c954713fbf0d-medium_jpg.jpg?buster=1340506299"
"Leaky","https://s3.amazonaws.com/photos.angel.co/startups/i/81396-8aecdd0ff159ebb949ea7e3ce93da24f-medium_jpg.jpg?buster=1361901288"
"Leftronic","https://s3.amazonaws.com/photos.angel.co/startups/i/684-df50c6fa421f42d8b3defcbeef7be153-medium_jpg.jpg?buster=1332280540"
"Listia","https://s3.amazonaws.com/photos.angel.co/startups/i/1347-05cbd11ecf251b69dd79527ceafc3d71-medium_jpg.jpg?buster=1315770591"
"Lively","https://s3.amazonaws.com/photos.angel.co/startups/i/265823-41ea88382406950211bde0468f9bc71f-medium_jpg.jpg?buster=1379426530"
"Mailgun","https://s3.amazonaws.com/photos.angel.co/startups/i/76269-a11d7391346c18703d603cbcceed82b7-medium_jpg.jpg?buster=1390237682"
"Meddik","https://s3.amazonaws.com/photos.angel.co/startups/i/26507-80cc41501879b33b4b00a9b9320462de-medium_jpg.jpg?buster=1345482788"
"MemSQL","https://s3.amazonaws.com/photos.angel.co/startups/i/40574-92d619b2909304031eb9818e5c8a4921-medium_jpg.jpg?buster=1344283609"
"Mindbloom","https://s3.amazonaws.com/photos.angel.co/startups/i/58332-580978e2d0b4a927a44eb90326ac4b29-medium_jpg.jpg?buster=1326865004"
"MinoMonsters","https://s3.amazonaws.com/photos.angel.co/startups/i/13949-fd2931c307fc7800f6531815d5cef10a-medium_jpg.jpg?buster=1340077450"
"MotherKnows","https://s3.amazonaws.com/photos.angel.co/startups/i/5084-5a0a354a2ae748d4e92a2103c5767aef-medium_jpg.jpg?buster=1350424608"
"MyHealthTeams","https://s3.amazonaws.com/photos.angel.co/startups/i/31676-4f7d7b85dd3733fb166760964b938212-medium_jpg.jpg?buster=1326247774"
"MyVR","https://s3.amazonaws.com/photos.angel.co/startups/i/91049-d371ab472aebc2d7f50a8b62342a18e7-medium_jpg.jpg?buster=1346881328"
"Nomi","https://s3.amazonaws.com/photos.angel.co/startups/i/125432-3ef7ca1d041b04862c04e271008bbf79-medium_jpg.jpg?buster=1361867621"
"Noom","https://s3.amazonaws.com/photos.angel.co/startups/i/109072-acb40e7bde18a6c02f67e07fe4b621d9-medium_jpg.jpg?buster=1354000054"
"Notifo","https://angel.co/images/shared/nopic_startup.png"
"Olark","https://s3.amazonaws.com/photos.angel.co/startups/i/55797-6d6ea5e276b8ef305fb35a052d4a4223-medium_jpg.jpg?buster=1326862650"
"Openbay","https://s3.amazonaws.com/photos.angel.co/startups/i/183516-d5c895e8d7a747c152988005fb4c9535-medium_jpg.jpg?buster=1375155661"
"Optimizely","https://s3.amazonaws.com/photos.angel.co/startups/i/32998-45e33954c547f256c086bc09986c5ba5-medium_jpg.jpg?buster=1326843245"
"Opzi","https://s3.amazonaws.com/photos.angel.co/startups/i/32934-59e345b62993075a91e000de8bc30b9e-medium_jpg.jpg?buster=1386698127"
"PageLever","https://s3.amazonaws.com/photos.angel.co/startups/i/24541-75931a8296c162813019d3bb216eaefc-medium_jpg.jpg?buster=1321347593"
"PagerDuty","https://s3.amazonaws.com/photos.angel.co/startups/i/32606-ccb977f6d323e8bfb5128df59457ac0b-medium_jpg.jpg?buster=1341464488"
"Panna","https://s3.amazonaws.com/photos.angel.co/startups/i/88774-e593da1969db5c29d0bb7dd08718056b-medium_jpg.jpg?buster=1336485413"
"Pharmly","https://s3.amazonaws.com/photos.angel.co/startups/i/206333-0b0761fda568caebe78afe9be0bab496-medium_jpg.jpg?buster=1368753258"
"PlanGrid","https://s3.amazonaws.com/photos.angel.co/startups/i/85839-99cae95d511098f375c6133e08167e03-medium_jpg.jpg?buster=1344459307"
"Plivo","https://s3.amazonaws.com/photos.angel.co/startups/i/27869-ed69b53f55006fff52d05a61cbc152dc-medium_jpg.jpg?buster=1374723197"
"popexpert","https://s3.amazonaws.com/photos.angel.co/startups/i/162477-ee6b9bf8df6ac586b9fe0caf44d4e3f5-medium_jpg.jpg?buster=1386372311"
"Posterous","https://s3.amazonaws.com/photos.angel.co/startups/i/32366-7781eaf8f83c59aff60bc0f6aea6c6fa-medium_jpg.jpg?buster=1326842607"
"Priceonomics","https://s3.amazonaws.com/photos.angel.co/startups/i/69763-e7410c45bbcb227cf1135a5233dd1f48-medium_jpg.jpg?buster=1329340748"
"Pymetrics","https://s3.amazonaws.com/photos.angel.co/startups/i/135880-2b066b8ce65bd793d592f3655545f0d7-medium_jpg.jpg?buster=1387133627"
"Quartzy","https://s3.amazonaws.com/photos.angel.co/startups/i/1790-1e20e19948d92cbadb180b47948a2124-medium_jpg.jpg?buster=1361921230"
"Rapportive","https://s3.amazonaws.com/photos.angel.co/startups/i/2489-1a4e851d33bf478ab5e32751caeecb60-medium_jpg.jpg?buster=1315741259"
"ReelSurfer","https://s3.amazonaws.com/photos.angel.co/startups/i/75737-69d01307cdc994c3dfa071621f025be6-medium_jpg.jpg?buster=1344526422"
"RethinkDB","https://angel.co/images/shared/nopic_startup.png"
"Ringadoc","https://s3.amazonaws.com/photos.angel.co/startups/i/74927-2e6003dd2f4ba76a8ceb41632923f5d1-medium_jpg.jpg?buster=1359527016"
"SaleMove","https://s3.amazonaws.com/photos.angel.co/startups/i/95278-72c7ca4e128466e7e8ecb993ac8580d6-medium_jpg.jpg?buster=1375239191"
"Scanadu","https://s3.amazonaws.com/photos.angel.co/startups/i/58699-91353fc8f733481054da9ac1b7305cc2-medium_jpg.jpg?buster=1372734395"
"Scripted","https://s3.amazonaws.com/photos.angel.co/startups/i/23346-e329076cc07e27d42d98840269c4730a-medium_jpg.jpg?buster=1338225447"
